Date_Hour,Forward_Jitter_PRI,Backward_Jitter_PRI,Roundtrip_Latency_PRI,Forward_Percent_Pkt_Loss_PRI,Backward_Percent_Pkt_Loss_PRI,Forward_Jitter_SEC,Backward_Jitter_SEC,Roundtrip_Latency_SEC,Forward_Percent_Pkt_Loss_SEC,Backward_Percent_Pkt_Loss_SEC
03/01/2025 00:00,13.69,1.00,23.52,0,0,26.79,1.00,27.71,0,0
03/01/2025 01:00,22.08,1.00,27.81,0,0,20.69,1.00,27.21,0,0
03/01/2025 02:00,19.83,1.00,29.16,0,0,19.04,1.01,28.12,0,0
03/01/2025 03:00,22.52,1.00,25.69,0,0,16.48,1.00,26.95,0,0
03/01/2025 04:00,18.76,1.00,26.89,0,0,15.46,1.01,26.56,0,0
03/01/2025 05:00,18.59,1.01,25.70,0,0,17.03,1.00,28.02,0,0
03/01/2025 06:00,15.52,1.00,24.06,0,0,18.57,1.01,26.29,0,0
03/01/2025 07:00,17.74,1.00,27.45,0,0,19.48,1.00,25.67,0,0
03/01/2025 08:00,16.29,1.00,27.70,0,0,21.84,1.00,27.21,0,0
03/01/2025 09:00,15.57,0.99,24.54,0,0,20.89,1.01,27.77,0,0
03/01/2025 10:00,18.58,1.00,27.05,0,0,17.38,0.99,25.97,0,0
03/01/2025 11:00,17.53,1.00,25.26,0,0,18.68,1.00,26.98,0,0
03/01/2025 12:00,17.21,1.00,26.15,0,0,24.17,1.00,25.65,0,0
03/01/2025 13:00,16.27,1.00,26.45,0,0,10.81,1.01,24.50,0,0
03/01/2025 14:00,16.90,1.00,23.92,0,0,13.90,1.00,25.70,0,0
03/01/2025 15:00,17.06,1.00,25.24,0,0,19.92,1.00,25.86,0,0
03/01/2025 16:00,22.33,1.00,26.55,0,0,17.71,1.00,27.41,0,0
03/01/2025 17:00,16.15,1.00,25.51,0,0,16.41,1.01,27.37,0,0
03/01/2025 18:00,19.74,1.00,27.18,0,0,17.89,1.01,28.84,0,0
03/01/2025 19:00,18.11,1.00,24.76,0,0,21.45,1.00,25.43,0,0
03/01/2025 20:00,19.47,1.00,23.69,0,0,20.30,1.01,25.51,0,0
03/01/2025 21:00,15.49,1.01,26.45,0,0,18.08,1.01,28.20,0,0
03/01/2025 22:00,24.38,1.00,24.41,0,0,19.24,1.00,26.05,0,0
03/01/2025 23:00,15.15,1.00,25.53,0,0,21.23,1.01,26.85,0,0
03/02/2025 00:00,23.01,0.98,27.82,0,0,21.52,1.00,28.03,0,0
03/02/2025 01:00,21.12,1.00,27.50,0,0,19.34,1.00,27.60,0,0
03/02/2025 02:00,20.59,1.00,27.61,0,0,18.39,1.00,25.85,0,0
03/02/2025 03:00,21.56,0.99,27.88,0,0,17.74,1.00,26.68,0,0
03/02/2025 04:00,22.64,1.00,26.60,0,0,17.82,0.99,24.87,0,0
03/02/2025 05:00,20.67,1.00,27.60,0,0,19.62,1.00,28.37,0,0
03/02/2025 06:00,17.16,1.00,26.54,0,0,15.57,1.01,26.60,0,0
03/02/2025 07:00,16.51,1.00,25.24,0,0,22.94,1.00,25.44,0,0
03/02/2025 08:00,17.54,1.00,24.77,0,0,24.96,0.99,27.70,0,0
03/02/2025 09:00,19.33,0.99,28.56,0,0,20.43,1.00,27.18,0,0
03/02/2025 10:00,26.74,1.00,27.19,0,0,25.15,1.01,29.29,0,0
03/02/2025 11:00,22.06,0.99,26.98,0,0,22.67,1.01,27.53,0,0
03/02/2025 12:00,19.91,0.99,27.49,0,0,19.57,1.00,26.93,0,0
03/02/2025 13:00,18.74,1.00,24.35,0,0,20.29,1.00,25.69,0,0
03/02/2025 14:00,17.47,1.01,27.18,0,0,20.03,1.00,27.39,0,0
03/02/2025 15:00,16.65,1.01,27.50,0,0,15.91,1.02,26.34,0,0
03/02/2025 16:00,16.02,1.00,26.12,0,0,19.73,1.00,26.59,0,0
03/02/2025 17:00,17.02,1.01,27.34,0,0,20.42,1.00,25.77,0,0
03/02/2025 18:00,17.90,1.00,23.78,0,0,14.69,1.04,25.44,0,0
03/02/2025 19:00,15.86,0.99,24.43,0,0,19.23,1.00,25.92,0,0
03/02/2025 20:00,18.59,0.99,26.11,0,0,22.54,1.00,26.26,0,0
03/02/2025 21:00,17.04,1.00,24.55,0,0,24.31,1.00,27.42,0,0
03/02/2025 22:00,21.32,1.00,26.03,0,0,19.88,1.01,29.19,0,0
03/02/2025 23:00,17.37,1.03,28.03,0,0,20.90,1.00,25.88,0,0
03/03/2025 00:00,18.01,0.99,26.44,0,0,20.53,1.00,27.89,0,0
03/03/2025 01:00,18.04,0.99,24.42,0,0,19.40,1.00,26.41,0,0
03/03/2025 02:00,17.06,1.01,26.84,0,0,22.26,0.99,25.45,0,0
03/03/2025 03:00,20.17,1.01,23.81,0,0,18.67,1.02,27.37,0,0
03/03/2025 04:00,17.32,1.00,26.12,0,0,19.69,0.99,28.94,0,0
03/03/2025 05:00,21.12,1.00,26.36,0,0,20.13,1.00,28.09,0,0
03/03/2025 06:00,19.97,1.00,27.64,0,0,21.59,1.00,28.39,0,0
03/03/2025 07:00,22.04,1.01,26.81,0,0,16.41,1.00,28.00,0,0
03/03/2025 08:00,16.58,1.01,28.33,0.25,0,18.68,1.00,26.80,0,0.08 
03/03/2025 09:00,14.32,1.00,26.14,0.08,0,16.11,1.01,25.27,0,0
03/03/2025 10:00,17.02,1.01,26.60,0.08,0,17.14,1.00,26.80,0,0
03/03/2025 11:00,15.88,1.01,28.71,0.42,0,17.91,1.00,25.26,0,0
03/03/2025 12:00,13.90,1.01,26.78,0,0,21.87,1.00,27.52,0,0
03/03/2025 13:00,14.79,1.01,23.93,0,0,19.87,1.00,29.87,0,0
03/03/2025 14:00,13.67,1.00,25.32,0,0,21.64,1.00,28.44,0,0
03/03/2025 15:00,13.14,1.00,26.77,0,0,21.88,1.00,26.03,0,0
03/03/2025 16:00,13.68,1.01,28.28,0,0,21.44,1.00,26.66,0,0
03/03/2025 17:00,19.25,1.00,26.85,0,0,19.08,1.00,28.82,0,0
03/03/2025 18:00,20.80,1.00,28.41,0,0,15.23,1.00,25.52,0,0
03/03/2025 19:00,23.98,1.00,24.65,0,0,18.61,1.00,27.97,0,0
03/03/2025 20:00,20.88,1.00,28.75,0,0,23.15,0.99,26.52,0,0
03/03/2025 21:00,19.41,1.00,25.37,0,0,18.66,1.00,26.92,0,0
03/03/2025 22:00,20.20,1.00,26.79,0,0,19.54,1.00,25.31,0,0
03/03/2025 23:00,22.28,0.99,28.72,0,0,17.30,0.99,28.27,0,0
03/04/2025 00:00,22.55,1.01,26.68,0,0,18.39,1.02,26.41,0,0
03/04/2025 01:00,13.07,1.00,24.09,0,0,17.86,1.00,26.43,0,0
03/04/2025 02:00,19.38,1.01,27.27,0,0,15.65,1.00,26.40,0,0
03/04/2025 03:00,14.67,1.00,22.76,0,0,24.93,0.99,26.99,0,0
03/04/2025 04:00,18.34,1.00,25.11,0,0,19.18,1.00,25.91,0,0
03/04/2025 05:00,16.68,0.99,26.26,0,0,18.43,1.00,27.45,0,0
03/04/2025 06:00,17.58,1.02,25.88,0,0,20.31,1.02,25.51,0,0
03/04/2025 07:00,11.28,1.00,23.82,0,0,18.72,0.99,25.38,0,0
03/04/2025 08:00,12.43,1.00,27.93,0.08,0,19.73,1.00,28.61,0,0
03/04/2025 09:00,13.95,1.00,27.16,0,0,16.81,1.00,27.17,0,0
03/04/2025 10:00,19.35,1.01,27.36,0,0,20.49,1.00,26.77,0,0
03/04/2025 11:00,15.28,1.00,27.02,0,0,20.35,1.01,27.99,0,0
03/04/2025 12:00,14.38,1.02,27.07,0,0,17.92,1.00,27.66,0,0
03/04/2025 13:00,17.02,1.00,25.37,0,0,22.52,1.01,27.51,0,0
03/04/2025 14:00,18.77,1.00,32.16,0.08,0,17.23,1.00,28.00,0,0
03/04/2025 15:00,13.81,1.00,26.70,0,0,21.32,1.01,27.00,0,0
03/04/2025 16:00,18.04,1.01,25.84,0,0,16.44,1.02,26.47,0,0
03/04/2025 17:00,25.65,0.99,26.70,0,0,14.47,1.00,25.27,0,0
03/04/2025 18:00,21.52,1.01,26.25,0,0,15.48,1.00,27.24,0,0
03/04/2025 19:00,21.61,1.00,25.12,0,0,22.55,1.00,25.69,0,0
03/04/2025 20:00,22.45,1.00,29.18,0,0,21.03,0.99,27.76,0,0
