Date Hour,AvUtilization(bps),PeakUtilization(bps),AverageDiscards(%),AverageErrors(%),AverageUtilization(bps)_SEC,PeakUtilization(bps)_SEC,AverageDiscards(%)_SEC,AverageErrors %)_SEC
03/01/2025 00:00,130549.0,161818.0,0,0,3661.0,6012.0,0,0
03/01/2025 01:00,142581.0,285946.0,0,0,3636.0,5865.0,0,0
03/01/2025 02:00,130417.0,162952.0,0,0,3653.0,6041.0,0,0
03/01/2025 03:00,128258.0,172026.0,0,0,3630.0,5857.0,0,0
03/01/2025 04:00,129255.0,172174.0,0,0,3712.0,6050.0,0,0
03/01/2025 05:00,166098.0,318422.0,0,0,3759.0,5952.0,0,0
03/01/2025 06:00,2121740.0,9750044.0,0,0,3649.0,6025.0,0,0
03/01/2025 07:00,124800.0,171199.0,0,0,3643.0,5886.0,0,0
03/01/2025 08:00,2114467.0,9759331.0,0,0,3649.0,5956.0,0,0
03/01/2025 09:00,125390.0,144993.0,0,0,3599.0,5850.0,0,0
03/01/2025 10:00,126595.0,142375.0,0,0,3694.0,5964.0,0,0
03/01/2025 11:00,126156.0,148355.0,0,0,3671.0,6028.0,0,0
03/01/2025 12:00,2114971.0,9517598.0,0,0,3644.0,5892.0,0,0
03/01/2025 13:00,135414.0,166893.0,0,0,3645.0,6001.0,0,0
03/01/2025 14:00,131009.0,153364.0,0,0,3637.0,5866.0,0,0
03/01/2025 15:00,133891.0,183516.0,0,0,3651.0,6058.0,0,0
03/01/2025 16:00,127736.0,144064.0,0,0,3643.0,5966.0,0,0
03/01/2025 17:00,125923.0,155884.0,0,0,3647.0,5868.0,0,0
03/01/2025 18:00,131594.0,153096.0,0,0,3629.0,5859.0,0,0
03/01/2025 19:00,157274.0,329390.0,0,0,3647.0,5867.0,0,0
03/01/2025 20:00,129428.0,145598.0,0,0,3633.0,5885.0,0,0
03/01/2025 21:00,87239.0,139120.0,0,0,3666.0,5880.0,0,0
03/01/2025 22:00,120412.0,141896.0,0,0,3640.0,5898.0,0,0
03/01/2025 23:00,135351.0,222430.0,0,0,3647.0,6012.0,0,0
03/02/2025 00:00,127247.0,150714.0,0,0,3753.0,6043.0,0,0
03/02/2025 01:00,130439.0,158947.0,0,0,3458.0,6017.0,0,0
03/02/2025 02:00,128348.0,146940.0,0,0,3639.0,5873.0,0,0
03/02/2025 03:00,127590.0,162229.0,0,0,3686.0,6327.0,0,0
03/02/2025 04:00,131063.0,151244.0,0,0,3715.0,6427.0,0,0
03/02/2025 05:00,156522.0,270353.0,0,0,3788.0,5981.0,0,0
03/02/2025 06:00,130163.0,172101.0,0,0,3648.0,5880.0,0,0
03/02/2025 07:00,126996.0,163050.0,0,0,3671.0,6012.0,0,0
03/02/2025 08:00,124001.0,141465.0,0,0,3659.0,5940.0,0,0
03/02/2025 09:00,121150.0,155092.0,0,0,3645.0,5883.0,0,0
03/02/2025 10:00,2114049.0,9923166.0,0,0,3637.0,5957.0,0,0
