Date,DGS3MO,DGS01,DGS03,DGS07,DGS10,DGS30
1961-12-31,,3.29,3.81,,4.10,
1962-01-31,,3.21,3.53,,4.00,
1962-02-28,,2.97,3.39,,3.86,
1962-03-31,,3.07,3.47,,3.86,
1962-04-30,,2.99,3.36,,3.90,
1962-05-31,,3.20,3.56,,4.00,
1962-06-30,,3.33,3.62,,4.04,
1962-07-31,,3.14,3.42,,3.96,
1962-08-31,,3.02,3.35,,3.94,
1962-09-30,,2.97,3.36,,3.92,
1962-10-31,,3.02,3.41,,3.92,
1962-11-30,,3.05,3.40,,3.85,
1962-12-31,,3.03,3.41,,3.87,
1963-01-31,,3.02,3.42,,3.94,
1963-02-28,,3.09,3.44,,3.95,
1963-03-31,,3.11,3.54,,3.95,
1963-04-30,,3.20,3.59,,3.96,
1963-05-31,,3.19,3.61,,4.00,
1963-06-30,,3.50,3.77,,4.00,
1963-07-31,,3.59,3.81,,4.02,
1963-08-31,,3.59,3.82,,4.07,
1963-09-30,,3.68,3.92,,4.15,
1963-10-31,,3.74,3.94,,4.08,
1963-11-30,,3.83,4.05,,4.14,
1963-12-31,,3.76,4.00,,4.15,
1964-01-31,,3.91,4.07,,4.18,
1964-02-29,,3.94,4.16,,4.23,
1964-03-31,,3.84,4.10,,4.22,
1964-04-30,,3.84,4.03,,4.19,
1964-05-31,,3.78,3.95,,4.15,
1964-06-30,,3.69,3.92,,4.19,
1964-07-31,,3.81,3.96,,4.21,
1964-08-31,,3.84,4.01,,4.18,
1964-09-30,,3.86,4.01,,4.16,
1964-10-31,,4.10,4.16,,4.20,
1964-11-30,,3.99,4.06,,4.21,
1964-12-31,,3.96,4.04,,4.19,
1965-01-31,,4.09,4.12,,4.22,
1965-02-28,,4.03,4.11,,4.20,
1965-03-31,,4.04,4.12,,4.21,
1965-04-30,,4.04,4.10,,4.23,
1965-05-31,,3.96,4.06,,4.20,
1965-06-30,,4.02,4.11,,4.22,
1965-07-31,,4.13,4.21,,4.27,
1965-08-31,,4.36,4.33,,4.35,
1965-09-30,,4.33,4.38,,4.41,
1965-10-31,,4.40,4.49,,4.48,
1965-11-30,,4.96,5.00,,4.65,
1965-12-31,,4.89,4.98,,4.69,
1966-01-31,,5.01,5.06,,5.02,
1966-02-28,,4.90,4.89,,4.71,
1966-03-31,,4.91,4.97,,4.79,
1966-04-30,,5.04,5.10,,4.80,
1966-05-31,,5.05,5.22,,4.97,
1966-06-30,,5.24,5.32,,5.05,
1966-07-31,,5.84,5.87,,5.36,
1966-08-31,,5.62,5.54,,5.02,
1966-09-30,,5.50,5.38,,4.97,
1966-10-31,,5.45,5.48,,5.12,
1966-11-30,,5.00,4.94,,4.64,
1966-12-31,,4.62,4.63,,4.52,
1967-01-31,,4.76,4.79,,4.72,
1967-02-28,,4.13,4.30,,4.50,
1967-03-31,,4.14,4.57,,4.78,
1967-04-30,,4.18,4.58,,4.81,
1967-05-31,,4.97,5.10,,5.22,
1967-06-30,,5.05,5.02,,5.16,
1967-07-31,,5.20,5.36,,5.27,
1967-08-31,,5.27,5.39,,5.31,
1967-09-30,,5.47,5.63,,5.64,
1967-10-31,,5.65,5.69,,5.74,
1967-11-30,,5.76,5.80,,5.70,
1967-12-31,,5.36,5.52,,5.54,
1968-01-31,,5.43,5.65,,5.56,
1968-02-29,,5.59,5.79,,5.76,
1968-03-31,,6.00,6.00,,5.74,
1968-04-30,,6.06,5.94,,5.86,
1968-05-31,,5.91,5.78,,5.64,
1968-06-30,,5.50,5.48,,5.39,
1968-07-31,,5.43,5.36,,5.42,
1968-08-31,,5.44,5.43,,5.49,
1968-09-30,,5.66,5.55,,5.61,
1968-10-31,,5.78,5.62,,5.78,
1968-11-30,,6.46,6.37,,6.16,
1968-12-31,,6.41,6.26,,6.19,
1969-01-31,,6.47,6.50,,6.26,
1969-02-28,,6.27,6.28,,6.30,
1969-03-31,,6.26,6.32,,6.20,
1969-04-30,,6.64,6.70,,6.56,
1969-05-31,,7.58,7.21,,6.73,
1969-06-30,,7.57,7.30,6.71,6.66,
1969-07-31,,7.64,7.37,6.97,6.83,
1969-08-31,,8.01,8.13,7.73,7.51,
1969-09-30,,7.58,7.41,6.99,6.94,
1969-10-31,,8.04,7.67,7.22,7.29,
1969-11-30,,8.32,8.41,7.66,7.88,
1969-12-31,,8.15,8.27,7.9,7.75,
1970-01-31,,7.11,7.27,7.1,6.90,
1970-02-28,,6.90,7.13,7.16,7.08,
1970-03-31,,7.72,7.89,7.93,7.82,
1970-04-30,,7.65,7.84,7.82,7.95,
1970-05-31,,7.40,7.77,7.76,7.68,
1970-06-30,,7.00,7.51,7.57,7.38,
1970-07-31,,6.84,7.36,7.51,7.49,
1970-08-31,,6.58,6.97,7.32,7.29,
1970-09-30,,6.29,6.85,7.22,7.33,
1970-10-31,,5.06,5.72,6.38,6.49,
1970-11-30,,4.94,5.84,6.25,6.50,
1970-12-31,,4.23,5.34,6.07,6.09,
1971-01-31,,3.69,4.84,5.78,6.14,
1971-02-28,,3.92,4.56,5.36,5.53,
1971-03-31,,4.77,5.76,6.17,6.08,
1971-04-30,,5.13,5.91,6.4,6.38,
1971-05-31,,6.24,6.77,6.93,6.70,
1971-06-30,,6.18,6.83,6.99,6.85,
1971-07-31,,5.28,5.81,6.22,6.28,
1971-08-31,,5.27,5.77,6.1,6.00,
1971-09-30,,4.64,5.30,5.88,5.87,
1971-10-31,,4.76,5.39,6.05,5.93,
1971-11-30,,4.46,5.15,5.85,5.89,
1971-12-31,,4.36,5.32,6.05,6.09,
1972-01-31,,4.34,5.27,5.95,6.04,
1972-02-29,,5.11,5.86,6.16,6.12,
1972-03-31,,4.61,5.58,6.08,6.14,
1972-04-30,,4.64,5.46,6,6.05,
1972-05-31,,5.15,5.80,6.13,6.15,
1972-06-30,,4.82,5.75,6.11,6.12,
1972-07-31,,5.40,6.00,6.36,6.42,
1972-08-31,,5.61,6.04,6.34,6.54,
1972-09-30,,5.44,6.05,6.32,6.41,
1972-10-31,,5.35,5.96,6.17,6.28,
1972-11-30,,5.68,6.14,6.29,6.41,
1972-12-31,,6.09,6.44,6.43,6.54,
1973-01-31,,6.43,6.74,6.68,6.64,
1973-02-28,,7.09,6.89,6.76,6.73,
1973-03-31,,6.80,6.81,6.75,6.70,
1973-04-30,,7.16,6.85,6.86,6.93,
1973-05-31,,7.74,7.07,6.92,6.94,
1973-06-30,,8.87,8.02,7.65,7.43,
1973-07-31,,8.47,7.46,7.22,7.25,
1973-08-31,,7.50,6.79,6.79,6.90,
1973-09-30,,7.21,6.82,6.83,6.71,
1973-10-31,,7.28,6.79,6.77,6.69,
