Date,JAPAN,AUSTRALIA,FRANCE,GERMANY,HONG KONG,ITALY,NORWAY,SINGAPORE,SWITZERLAND,UNITED KINGDOM,USA,CANADA,NETHERLANDS,SWEDEN,SPAIN,MEXICO,PERU,THAILAND,KOREA,EGYPT,COLOMBIA,CHILE,BRAZIL,CHINA,INDONESIA,INDIA,MALAYSIA,SOUTH AFRICA
2000-12-29,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
2001-01-31,99.756,105.035,101.157,104.724,103.900,102.720,102.742,101.261,98.819,99.294,104.621,105.887,100.275,108.808,110.524,116.183,112.914,132.129,128.725,104.262,116.985,109.632,114.369,115.596,111.358,109.834,108.979,106.979
2001-02-28,96.342,101.367,90.835,97.293,102.669,93.443,102.190,100.009,93.332,93.767,96.306,90.005,94.816,92.126,105.437,109.462,114.630,128.655,120.827,93.108,121.506,102.408,103.753,106.232,111.305,107.029,107.665,108.624
2001-03-30,97.246,94.258,87.920,90.614,95.553,91.086,97.898,86.497,87.534,93.140,93.771,85.049,89.718,74.459,103.575,110.204,118.986,111.123,108.340,88.620,110.686,103.529,95.693,92.576,94.177,91.706,102.179,97.713
2001-04-30,103.554,105.047,95.549,96.585,95.249,95.722,104.937,87.254,89.425,98.699,100.759,90.846,95.752,85.288,108.339,120.401,108.929,113.735,123.147,92.801,112.996,108.741,100.302,101.680,78.632,89.374,91.510,108.864
2001-05-31,108.053,110.499,93.467,94.596,98.498,91.488,108.826,87.475,92.380,99.801,105.975,96.768,96.238,84.302,105.681,136.381,122.459,120.020,138.560,103.637,147.622,122.947,99.483,109.255,101.129,97.177,93.539,120.460
2001-06-29,101.743,114.152,90.060,94.143,93.347,87.738,105.162,89.050,88.699,96.518,103.658,93.172,94.082,79.782,98.316,138.655,131.479,122.891,130.902,95.190,153.365,114.981,98.142,112.999,106.818,92.202,97.199,116.275
2001-07-31,91.106,104.748,87.559,91.487,90.123,86.706,100.770,85.103,84.992,93.478,99.328,89.730,90.246,77.872,94.748,129.696,123.425,106.675,117.593,82.049,144.114,106.162,88.168,94.520,125.536,86.202,106.142,99.228
2001-08-31,85.561,101.432,81.456,81.843,80.838,82.661,95.658,82.802,81.710,89.187,89.280,81.719,86.463,70.771,92.842,121.686,125.666,123.065,117.016,80.272,141.890,105.983,77.686,71.341,126.540,81.796,107.425,100.136
2001-09-28,77.367,88.456,71.749,68.370,68.181,71.089,81.263,65.712,77.737,83.104,82.216,73.897,74.740,59.200,82.061,102.435,122.396,100.527,97.751,71.875,127.859,87.677,64.560,68.734,101.499,70.212,95.892,84.702
2001-10-31,78.065,97.319,76.183,72.169,71.332,74.171,83.292,67.026,78.617,85.649,84.319,74.802,75.818,64.415,86.735,110.098,117.609,97.539,114.331,70.701,120.826,89.161,68.885,71.270,92.764,75.735,94.213,87.314
2001-11-30,79.383,105.417,78.897,78.973,81.202,75.993,87.834,72.562,80.809,88.039,91.317,82.150,79.659,74.285,93.079,114.605,119.626,112.430,144.138,65.648,138.936,98.187,76.239,78.685,89.853,83.981,100.754,90.185
2001-12-31,74.437,107.209,81.861,81.838,85.815,77.405,92.553,80.749,82.899,90.629,92.375,83.897,82.139,76.783,93.462,124.851,126.447,110.729,156.069,61.898,153.040,101.617,87.526,79.385,95.986,84.565,110.247,87.299
2002-01-31,70.961,111.183,79.289,80.782,87.181,77.216,92.067,93.706,80.980,89.783,94.164,86.125,81.641,71.850,89.354,140.395,142.250,136.210,173.871,57.653,173.538,99.979,84.779,74.403,121.249,88.998,120.094,94.275
2002-02-28,73.556,111.281,79.587,79.339,83.394,76.673,95.116,89.678,82.924,88.926,91.843,84.808,81.475,73.034,90.193,136.168,150.001,146.989,190.647,62.924,151.232,99.956,96.405,74.646,122.100,94.119,117.608,98.854
2002-03-29,77.115,114.082,83.095,84.953,87.701,80.858,102.322,93.410,87.458,92.252,94.436,87.086,87.817,75.204,91.297,149.457,154.427,145.339,205.948,65.870,156.731,102.901,95.669,78.190,135.788,92.712,126.111,99.979
2002-04-30,79.005,109.070,79.215,79.800,89.725,78.780,99.626,87.818,86.968,89.599,85.476,83.647,84.591,65.598,90.821,142.348,148.737,140.732,199.379,62.462,157.476,98.822,91.828,79.007,155.950,85.834,128.894,105.530
2002-05-31,80.952,111.762,76.635,76.152,82.992,74.383,98.423,83.107,87.062,85.007,81.792,82.416,82.046,62.422,87.994,126.257,151.148,153.170,192.899,60.265,156.953,90.129,81.984,77.371,161.108,77.569,115.988,112.027
2002-06-28,72.588,100.505,70.415,69.902,73.760,70.703,90.449,73.707,79.089,77.019,71.448,73.529,75.229,57.520,75.616,107.284,128.600,136.997,175.638,55.409,152.018,76.983,63.279,70.733,142.962,75.578,108.194,95.243
2002-07-31,68.042,93.657,61.411,58.785,71.240,64.014,81.916,72.742,70.092,72.361,66.776,65.732,62.307,49.468,68.121,100.419,117.994,130.374,172.241,55.695,137.349,75.981,45.286,68.138,133.122,70.650,108.750,80.880
2002-08-30,67.299,95.851,60.418,59.022,67.739,64.889,80.384,72.561,69.976,71.585,67.041,66.519,63.415,49.190,71.131,102.916,129.422,125.638,172.924,55.214,137.131,74.615,55.589,66.793,128.731,74.982,107.582,83.638
2002-09-30,63.800,89.797,50.762,44.308,62.425,55.518,69.491,63.813,64.892,63.685,58.995,60.684,51.726,40.557,59.162,91.148,121.051,113.375,147.262,55.883,143.410,64.155,38.472,61.005,119.455,70.781,95.872,83.130
2002-10-31,59.236,94.422,57.239,50.398,64.538,59.997,72.824,69.802,66.955,68.533,64.192,62.383,58.353,46.996,67.772,96.947,127.355,123.165,154.259,53.749,165.427,67.624,49.339,61.227,98.330,70.507,99.814,86.640
2002-11-29,61.356,96.474,59.391,53.016,68.269,65.303,78.624,65.821,68.323,70.280,67.716,65.728,61.514,53.527,74.295,101.075,137.460,127.156,173.169,53.723,167.967,70.778,49.692,63.475,109.533,77.492,95.404,94.575
2002-12-31,56.666,89.750,54.747,46.398,59.862,60.864,72.829,60.946,63.090,65.182,60.282,61.800,55.174,45.286,67.179,91.831,140.016,119.562,143.406,53.357,162.119,68.760,51.501,57.896,115.544,77.419,92.928,94.808
2003-01-31,53.148,89.313,51.731,44.249,58.850,58.596,67.153,56.971,59.566,59.225,57.483,62.096,50.555,43.661,66.410,85.034,145.344,125.287,134.100,55.622,153.614,65.710,48.670,59.303,98.881,72.558,94.363,89.404
