Date,ACWI_USD,WORLD_USD,EAFE_USD,EM_USD,EU_USD,ACWI_EUR,WORLD_EUR,EAFE_EUR,EM_EUR,EU_EUR
2025-02-28,291.66,299.98,234.02,375.38,257.42,316.42,325.45,253.89,407.25,279.28
2025-01-31,289.08,297.77,223.67,365.42,266.95,313.62,323.05,242.66,396.44,276.96
2024-12-31,277.47,284.32,216.80,373.47,257.16,301.03,308.46,235.21,405.18,266.47
2024-11-29,272.97,279.29,212.61,373.79,252,296.15,303,230.66,405.52,260.90
2024-10-31,285.63,292.56,219.64,386.32,248.74,309.88,317.4,238.29,419.12,263.04
2024-09-30,280.37,286.01,225.35,396.86,242.64,304.17,310.29,244.48,430.55,264.07
2024-08-30,295.25,299.98,244.36,436.52,250.13,320.32,325.45,265.11,473.58,278.50
2024-07-31,291.38,297.73,241.45,405.10,252.57,316.12,323.01,261.95,439.49,279.01
2024-06-28,278.14,283.04,230.77,404.65,250.57,301.75,307.07,250.36,439,271.24
2024-05-31,271.24,275.95,222.27,395.40,247.62,294.27,299.38,241.14,428.97,265.28
2024-04-30,275.78,280.69,230.72,400.24,251.82,299.19,304.52,250.31,434.22,273.00
2024-03-29,269.57,273.45,223.81,405.52,251.44,292.46,296.67,242.81,439.95,268.16
2024-02-29,273.75,277.77,228.83,410.56,250.8,296.99,301.35,248.26,445.42,270.69
2024-01-31,268.65,271.99,227.33,412.26,248.24,291.46,295.08,246.63,447.26,268.17
2023-12-29,267.60,271.31,235.52,404.71,256.45,290.32,294.34,255.52,439.07,277.38
2023-11-30,267.84,269.96,237.33,429.56,248.94,290.58,292.88,257.48,466.03,274.73
2023-10-31,261.36,263.66,231.42,415.83,250.72,283.55,286.04,251.07,451.13,272.93
2023-09-29,250.88,253.31,220.87,395.59,253.03,272.18,274.82,239.62,429.18,267.60
2023-08-31,255.63,257.84,226.56,407.33,258.76,277.33,279.73,245.79,441.91,273.51
2023-07-31,268.82,271.72,240.52,419.42,262.13,291.64,294.79,260.94,455.03,284.18
2023-06-30,279.21,281.75,248.97,442.79,264.08,302.91,305.67,270.11,480.38,290.30
2023-05-31,274.00,276.95,245.37,427.53,264.2,297.26,300.46,266.2,463.83,288.24
2023-04-28,265.94,268.90,238.07,413.59,266.71,288.52,291.73,258.28,448.7,285.06
2023-03-31,284.56,288.65,260.56,428.49,275.74,308.72,313.16,282.68,464.87,303.86
2023-02-28,274.99,277.89,249.50,430.08,271.45,298.34,301.48,270.68,466.59,294.22
2023-01-31,263.66,265.84,236.55,421.35,269.16,286.04,288.41,256.63,457.12,284.66
2022-12-30,270.54,272.44,242.36,437.55,260.99,293.51,295.57,262.94,474.7,283.49
2022-11-30,267.14,269.79,232.92,420.41,259.39,289.82,292.7,252.69,456.1,277.60
2022-10-31,271.71,274.94,232.12,419.36,277.2,294.78,298.28,251.83,454.96,288.43
2022-09-30,252.69,256.36,212.95,379.86,280.11,274.14,278.12,231.03,412.11,276.83
2022-08-31,241.40,242.65,211.42,397.72,279.7,261.89,263.25,229.37,431.49,274.08
2022-07-29,261.57,263.66,228.26,419.67,287.45,283.78,286.04,247.64,455.3,289.09
2022-06-30,269.04,271.68,239.30,424.12,293.78,291.88,294.75,259.62,460.13,300.18
2022-05-31,259.82,261.78,228.88,418.53,267.84,281.88,284.01,248.31,454.06,280.75
2022-04-29,269.49,271.63,239.45,432.60,268.34,292.37,294.69,259.78,469.33,288.01
2022-03-31,279.40,282.84,246.74,429.63,285.83,303.12,306.85,267.69,466.11,301.29
2022-02-28,278.93,281.54,252.22,441.53,262,302.61,305.44,273.63,479.02,289.90
2022-01-31,280.28,281.68,259.54,462.40,262.53,304.08,305.59,281.57,501.66,294.53
2021-12-31,282.33,284.15,259.71,459.54,264.77,306.3,308.27,281.76,498.55,297.42
2021-11-30,291.71,293.25,274.34,480.06,272.8,316.48,318.15,297.63,520.82,310.12
2021-10-29,270.71,270.92,258.77,464.24,257.7,293.69,293.92,280.74,503.65,292.13
2021-09-30,278.33,277.70,268.86,490.72,254.75,301.96,301.28,291.69,532.38,294.52
2021-08-31,270.53,268.87,261.63,493.37,243.36,293.5,291.7,283.84,535.26,281.84
2021-07-30,281.62,280.45,271.65,504.73,245.19,305.53,304.26,294.71,547.58,289.50
2021-06-30,278.59,278.49,271.43,482.52,244.43,302.24,302.13,294.47,523.49,290.14
2021-05-31,277.80,275.35,272.48,518.40,244.34,301.39,298.73,295.61,562.41,289.66
2021-04-30,279.67,276.67,273.00,530.51,231.3,303.41,300.16,296.18,575.55,282.76
2021-03-31,271.20,269.10,262.43,501.52,228.61,294.22,291.95,284.71,544.1,274.74
2021-02-26,264.66,261.97,253.54,499.67,228.68,287.13,284.21,275.07,542.09,268.20
2021-01-29,250.13,246.53,242.93,489.40,203.45,271.37,267.46,263.55,530.95,245.65
2020-12-31,257.21,253.27,253.66,507.06,211.15,279.05,274.77,275.2,550.11,256.25
2020-11-30,267.93,264.65,261.52,514.87,215.79,290.68,287.12,283.72,558.58,263.55
2020-10-30,260.30,258.79,252.62,472.59,218.28,282.4,280.76,274.07,512.71,260.37
2020-09-30,241.28,240.04,232.94,435.33,211.57,261.76,260.42,252.72,472.29,246.41
2020-08-31,250.86,250.12,245.85,443.33,222.94,272.16,271.36,266.72,480.97,261.24
2020-07-31,254.92,253.77,248.73,457.16,216.04,276.56,275.32,269.85,495.97,257.86
2020-06-30,248.60,246.92,246.50,455.47,220.78,269.71,267.88,267.43,494.14,259.95
2020-05-29,235.21,233.83,236.76,427.31,231.31,255.18,253.68,256.86,463.59,259.78
2020-04-30,233.71,232.99,232.78,413.53,232.17,253.55,252.77,252.54,448.64,257.66
2020-03-31,229.47,228.83,227.77,405.07,234.29,248.95,248.26,247.11,439.46,256.66
2020-02-28,217.03,216.62,218.28,379.67,220.57,235.46,235.01,236.81,411.9,243.27
2020-01-31,230.18,228.49,227.37,424.72,232.85,249.72,247.89,246.67,460.78,256.72
2019-12-31,252.29,250.78,252.01,459.58,254.67,273.71,272.07,273.41,498.6,282.50
2019-11-29,253.28,251.06,253.32,473.88,249.8,274.78,272.37,274.83,514.11,280.03
2019-10-31,248.26,246.34,248.48,459.90,251.67,269.34,267.25,269.58,498.95,277.21
2019-09-30,247.41,244.79,248.62,471.43,245.06,268.42,265.57,269.73,511.45,273.24
2019-08-30,248.11,245.94,249.89,464.34,260.98,269.17,266.82,271.11,503.76,284.42
2019-07-31,246.84,244.86,251.41,458.42,259.75,267.8,265.65,272.75,497.34,285.44
2019-06-28,243.91,240.92,247.47,473.10,250.08,264.62,261.37,268.48,513.27,276.94
2019-05-31,240.63,237.50,246.22,470.08,236.89,261.06,257.66,267.12,509.99,269.30
2019-04-30,231.46,228.33,238.56,454.42,237.98,251.11,247.72,258.81,493,265.75
2019-03-29,239.39,236.22,245.49,469.16,240.97,259.71,256.28,266.33,508.99,270.25
2019-02-28,235.81,232.88,244.18,458.34,238.42,255.83,252.65,264.91,497.25,267.44
2019-01-31,227.21,223.80,233.41,453.25,219.8,246.5,242.8,253.23,491.73,249.91
2018-12-31,223.32,219.18,228.57,461.20,211.27,242.28,237.79,247.98,500.36,241.78
2018-11-30,212.68,208.91,218.14,435.88,199.69,230.74,226.65,236.66,472.89,229.03
2018-10-31,227.10,224.54,227.75,436.13,214.66,246.38,243.6,247.09,473.16,242.89
2018-09-28,223.67,221.72,226.45,417.94,214.62,242.66,240.54,245.68,453.42,242.73
2018-08-31,228.87,225.29,239.26,459.50,213.72,248.3,244.42,259.57,498.51,248.09
2018-07-31,228.68,225.05,240.44,460.33,216.73,248.09,244.16,260.85,499.41,251.38
2018-06-29,231.42,226.89,245.12,483.29,218.13,251.07,246.15,265.93,524.32,255.02
2018-05-31,225.30,220.64,240.58,475.39,211.02,244.43,239.37,261.01,515.75,246.54
2018-04-30,221.05,215.46,238.72,487.32,208.49,239.82,233.75,258.99,528.69,243.72
2018-03-30,225.24,218.75,241.79,513.46,200.33,244.36,237.32,262.32,557.05,241.94
2018-02-28,230.10,224.14,242.20,509.96,194.21,249.64,243.17,262.76,553.26,239.28
2018-01-31,230.49,224.58,239.49,509.36,195.51,250.06,243.65,259.82,552.6,238.39
2017-12-29,247.18,241.68,255.35,527.82,203.74,268.17,262.2,277.03,572.63,253.04
2017-11-30,242.99,237.77,250.77,514.84,215.13,263.62,257.96,272.06,558.55,258.07
2017-10-31,237.93,233.64,246.97,485.77,214.9,258.13,253.48,267.94,527.01,255.77
2017-09-29,230.25,225.75,243.47,478.21,223.79,249.8,244.92,264.14,518.81,260.58
2017-08-31,230.51,226.03,239.98,478.17,215.04,250.08,245.22,260.35,518.77,254.01
2017-07-31,232.96,228.27,241.88,486.83,212.43,252.74,247.65,262.42,528.16,252.96
2017-06-30,233.47,229.31,240.66,475.47,215.08,253.29,248.78,261.09,515.84,254.65
2017-05-31,232.12,228.19,239.22,468.08,229.52,251.83,247.56,259.53,507.82,262.18
2017-04-28,237.64,233.79,244.85,475.28,241.94,257.82,253.64,265.64,515.63,271.97
2017-03-31,227.85,224.17,228.91,455.44,240.76,247.19,243.2,248.34,494.11,262.31
2017-02-28,224.76,221.16,224.48,448.42,245.06,243.84,239.94,243.54,486.49,260.96
2017-01-31,223.11,219.69,218.83,441.48,241.65,242.05,238.34,237.41,478.96,255.54
2016-12-30,214.30,210.85,211.15,428.00,223.74,232.49,228.75,229.08,464.34,241.53
