Date,ACWI,ACWI ex USA,AC ASIA,AC EUROPE,AC PACIFIC,AC FAR EAST,AC ASIA PACIFIC,AC AMERICAS,WORLD,WORLD ex USA,EAFE,EM (EMERGING MARKETS),NORDIC COUNTRIES,FAR EAST,PACIFIC,NORTH AMERICA,ACWI SMALL CAP,ACWI ex USA SMALL CAP Small Cap,WORLD SMALL CAP,WORLD ex USA SMALL CAP Small Cap,EAFE SMALL CAP,EM (EMERGING MARKETS) SMALL CAP,NORDIC COUNTRIES SMALL CAP Small Cap,FAR EAST SMALL CAP,PACIFIC SMALL CAP,NORTH AMERICA SMALL CAP
2000-12-29,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
2001-01-31,103.495,102.466,103.528,101.107,103.520,103.359,103.671,104.940,102.901,101.143,100.905,114.847,98.579,100.160,100.657,104.677,105.388,103.379,104.699,103.932,103.994,111.291,108.161,100.616,100.921,105.728
2001-02-28,95.834,95.411,99.912,93.111,99.870,99.718,100.044,96.276,95.253,94.181,94.391,107.036,80.102,97.009,97.448,96.024,100.569,101.202,102.796,102.784,103.064,108.781,100.636,103.773,102.580,102.432
2001-03-30,92.946,92.193,98.310,89.637,98.199,98.507,98.026,93.634,92.564,91.331,91.647,100.360,73.635,96.705,96.528,93.381,97.393,97.392,101.018,99.381,99.014,105.550,94.962,102.497,100.554,104.050
2001-04-30,99.389,98.128,102.905,95.836,103.501,103.301,103.132,100.555,99.102,97.404,97.733,105.004,86.839,102.254,102.586,100.316,103.771,102.592,108.664,107.673,107.144,106.550,101.318,115.056,111.960,110.962
2001-05-31,102.736,99.727,107.395,95.395,107.956,107.702,107.668,105.880,102.305,98.526,98.617,111.102,84.862,106.488,106.899,105.564,110.646,107.627,114.883,112.763,111.803,113.290,106.270,119.940,116.838,119.477
2001-06-29,99.682,95.983,102.110,91.887,103.417,102.406,103.118,103.538,99.208,94.625,94.701,108.916,76.712,100.571,101.910,103.190,109.834,103.693,114.735,109.681,108.610,111.399,98.491,117.673,115.808,124.101
2001-07-31,94.906,90.790,92.388,89.002,93.657,92.583,93.450,99.104,94.705,89.946,89.960,98.675,74.317,90.795,92.201,98.899,102.051,96.491,107.320,101.867,100.756,101.278,96.525,104.593,104.336,117.395
2001-08-31,87.185,85.261,86.989,83.521,88.410,87.151,88.229,89.197,86.831,84.325,84.456,94.094,63.988,85.065,86.712,88.940,96.913,93.399,103.150,99.019,98.103,98.534,91.045,101.323,101.914,110.835
2001-09-28,78.994,76.000,77.135,74.929,78.319,77.346,78.099,81.896,78.964,75.619,75.706,79.312,57.248,76.172,77.402,81.844,84.265,81.592,89.380,85.990,84.732,85.464,79.365,91.622,91.939,96.465
2001-10-31,81.556,78.998,78.969,78.281,80.623,79.051,80.506,83.997,81.365,78.331,78.507,85.165,64.459,77.093,79.086,83.895,89.546,85.937,96.412,91.247,90.050,89.320,84.898,94.954,96.306,105.385
2001-11-30,87.065,83.099,82.950,81.986,84.858,82.921,84.835,90.984,86.681,81.897,81.887,94.613,71.171,79.266,81.841,90.907,95.178,89.722,103.090,95.424,94.074,98.965,91.511,92.974,95.784,114.858
2001-12-31,88.350,84.633,81.172,84.617,83.362,81.095,83.376,92.230,87.702,82.880,82.832,102.684,74.793,75.505,78.658,91.993,98.524,90.027,106.313,94.238,92.250,105.667,94.750,84.198,88.820,123.136
2002-01-31,88.855,83.777,80.366,83.088,82.897,80.157,83.021,94.063,87.950,81.360,81.118,109.786,71.141,72.979,76.834,93.799,100.988,92.559,107.694,95.631,93.165,115.261,99.731,82.681,88.875,125.012
2002-02-28,87.758,83.973,82.406,82.574,84.678,82.124,84.872,91.871,86.763,81.468,81.300,111.037,70.556,74.860,78.515,91.520,100.021,93.386,106.261,96.696,94.264,115.185,102.548,85.795,91.600,121.049
2002-03-29,90.912,87.744,86.639,86.362,88.883,86.477,88.970,94.476,89.817,85.071,84.971,116.683,72.153,78.480,82.046,94.099,105.899,97.761,113.534,102.162,99.566,123.236,107.584,90.624,96.479,130.454
2002-04-30,85.195,85.455,87.464,83.050,89.326,87.469,89.271,85.795,84.001,82.848,82.810,113.691,62.478,80.112,82.990,85.366,104.209,97.492,111.649,102.170,99.871,120.667,107.640,93.193,97.491,126.395
2002-05-31,82.236,83.254,87.388,79.843,89.698,87.582,89.467,82.075,81.155,80.955,80.883,107.884,58.956,81.181,84.251,81.781,100.681,97.444,107.377,103.147,100.598,113.937,107.377,98.017,102.920,117.205
2002-06-28,73.018,75.327,78.406,72.839,80.440,78.496,80.307,71.696,72.100,73.467,73.468,94.372,55.408,72.725,75.533,71.497,89.875,88.151,96.287,93.573,91.599,99.675,99.696,88.905,93.376,103.712
2002-07-31,67.369,68.477,74.130,65.241,75.915,74.221,75.785,66.824,66.501,66.649,66.702,87.797,48.114,68.425,70.962,66.708,81.560,81.589,86.443,86.603,85.148,97.663,89.119,86.331,90.189,90.208
2002-08-30,67.498,68.445,73.178,65.232,75.236,73.192,75.171,67.173,66.594,66.525,66.530,89.112,48.863,67.525,70.431,66.993,81.433,80.927,86.002,85.569,84.026,97.527,84.888,84.133,89.283,90.426
2002-09-30,59.614,60.708,68.108,56.289,70.086,68.105,70.039,59.137,58.809,59.015,58.931,78.887,43.005,63.733,66.415,59.034,74.082,72.996,78.873,78.376,76.857,85.662,75.496,79.571,84.599,83.134
2002-10-31,63.854,63.827,65.306,61.599,68.043,65.259,68.025,64.242,63.012,61.987,61.970,83.839,49.467,59.953,63.632,64.097,75.798,73.978,79.649,77.572,75.741,89.940,80.093,72.423,78.826,85.773
2002-11-29,67.022,66.589,67.871,64.357,70.480,67.768,70.513,67.748,66.103,64.551,64.493,89.208,55.117,61.977,65.636,67.612,80.233,76.772,83.757,79.390,77.572,95.376,86.206,72.945,79.429,92.208
2002-12-31,60.483,61.076,62.046,58.779,64.521,61.845,64.644,60.495,59.616,59.211,59.079,81.749,47.059,57.038,60.540,60.315,73.805,72.030,75.764,74.028,72.155,88.357,79.831,67.570,74.485,81.532
2003-01-31,57.385,57.604,59.002,54.755,61.797,58.829,61.892,57.797,56.501,55.677,55.341,79.562,43.451,53.666,57.535,57.636,70.822,69.629,72.745,71.588,69.537,89.114,75.745,65.872,73.346,78.041
2003-02-28,56.131,56.200,58.319,52.820,61.005,58.128,61.118,56.772,55.291,54.361,53.856,77.017,41.904,53.667,57.352,56.618,69.218,68.439,71.184,70.780,68.696,86.239,71.802,68.498,75.230,75.747
2003-03-31,55.202,54.395,54.968,51.351,58.246,54.807,58.324,56.556,54.432,52.659,52.149,73.899,41.929,50.642,54.910,56.367,68.460,66.901,70.422,69.234,67.395,81.913,70.636,66.400,73.410,75.474
2003-04-30,58.759,58.257,53.903,57.021,57.843,53.788,57.873,59.915,57.939,56.430,55.988,78.683,48.613,49.181,54.183,59.652,73.084,71.561,75.941,73.901,72.084,85.796,77.890,66.654,74.533,81.941
2003-05-30,58.961,58.752,54.164,57.651,57.888,54.030,57.937,59.928,58.106,56.865,56.344,79.997,48.625,49.117,53.937,59.683,75.826,74.106,79.559,76.320,74.240,88.936,79.900,66.670,74.501,87.035
2003-06-30,61.518,61.807,59.394,59.622,63.115,59.184,63.230,62.160,60.535,59.657,59.102,86.578,48.872,53.772,58.732,61.895,79.887,79.073,84.121,82.245,80.090,96.831,83.021,75.374,83.458,90.517
2003-07-31,64.138,64.727,63.799,62.027,67.180,63.555,67.328,64.555,63.008,62.261,61.759,93.824,50.771,57.237,61.969,64.255,84.833,83.476,89.260,86.443,84.246,104.602,87.902,78.368,86.418,96.737
2003-08-29,67.290,68.322,71.757,63.583,74.745,71.446,74.953,67.503,65.982,65.475,64.843,102.624,54.294,64.789,69.204,67.170,91.172,89.979,97.234,94.453,92.069,112.991,95.246,90.147,97.676,105.101
2003-09-30,63.824,66.203,70.672,61.188,73.552,70.358,73.765,62.996,62.581,63.580,63.017,97.455,51.408,64.630,68.823,62.648,87.251,89.063,93.365,94.137,91.976,107.542,94.669,91.359,98.955,97.613
2003-10-31,67.797,70.614,74.809,65.330,78.079,74.421,78.350,66.727,66.405,67.681,67.062,105.933,56.279,67.724,72.540,66.341,94.148,95.857,101.770,101.822,99.486,116.051,104.306,98.139,106.714,107.111
2003-11-28,66.735,69.964,70.688,66.030,73.987,70.250,74.304,65.390,65.373,67.124,66.483,103.984,56.588,63.818,68.690,64.987,93.440,93.690,100.460,98.834,96.086,116.024,107.380,89.218,98.284,107.688
2003-12-31,67.422,71.560,71.651,67.936,75.067,71.080,75.498,65.400,66.019,68.682,68.117,105.975,56.133,64.596,69.748,64.944,92.518,94.426,99.458,99.658,96.858,117.915,107.962,90.745,99.897,104.936
2004-01-30,69.612,73.814,74.938,69.806,78.236,74.426,78.617,67.551,68.107,70.706,70.139,111.357,60.731,67.198,72.242,67.091,97.355,99.530,105.318,105.538,103.341,122.941,114.447,96.413,105.272,110.376
