Date,WORLD,WORLD ex USA,EAFE,USA,ACWI,ACWI ex USA,EM
1969-12-31,100.000,100.000,100.000,100.000,,,
1970-01-30,94.249,97.655,98.624,92.592,,,
1970-02-27,96.979,96.154,96.097,97.527,,,
1970-03-31,97.075,95.857,97.340,97.829,,,
1970-04-30,87.800,85.564,88.966,89.088,,,
1970-05-29,82.060,79.005,84.280,83.789,,,
1970-06-30,79.837,79.616,85.850,80.099,,,
1970-07-31,84.585,82.500,89.003,85.851,,,
1970-08-31,87.175,83.872,89.103,89.109,,,
1970-09-30,89.788,86.212,89.493,91.875,,,
1970-10-30,88.264,83.612,88.447,90.950,,,
1970-11-30,90.035,80.539,84.370,95.670,,,
1970-12-31,94.292,83.169,85.872,100.927,,,
1971-01-29,98.420,86.822,89.074,105.338,,,
1971-02-26,99.255,87.642,89.582,106.180,,,
1971-03-31,103.407,91.874,93.166,110.273,,,
1971-04-30,106.587,93.632,96.479,114.333,,,
1971-05-31,103.859,94.157,98.000,109.661,,,
1971-06-30,104.711,95.568,100.030,110.183,,,
1971-07-30,102.836,97.775,103.987,106.030,,,
1971-08-31,104.877,96.022,102.230,110.172,,,
1971-09-30,103.676,95.532,100.387,108.577,,,
1971-10-29,99.540,91.302,96.910,104.476,,,
1971-11-30,100.176,92.736,99.785,104.681,,,
1971-12-31,108.993,106.628,108.315,111.027,,,
1972-01-31,112.774,114.130,114.280,113.067,,,
1972-02-29,116.888,120.791,121.438,116.038,,,
1972-03-31,118.297,121.788,125.089,117.650,,,
1972-04-28,119.654,126.216,127.740,117.641,,,
1972-05-31,121.882,134.552,131.544,117.322,,,
1972-06-30,118.841,129.708,127.709,115.029,,,
1972-07-31,120.466,137.525,134.261,114.189,,,
1972-08-31,123.678,138.917,135.425,118.164,,,
1972-09-29,121.590,131.937,130.682,118.165,,,
1972-10-31,122.381,131.481,131.726,119.508,,,
1972-11-30,128.591,142.083,140.057,123.924,,,
1972-12-29,130.737,144.924,144.366,125.796,,,
1973-01-31,130.825,151.219,146.515,122.627,,,
1973-02-28,131.515,166.424,158.266,116.731,,,
1973-03-30,131.476,169.828,158.900,115.180,,,
1973-04-30,124.631,157.902,149.629,110.582,,,
1973-05-31,124.046,160.323,152.893,108.675,,,
1973-06-29,124.611,162.222,156.280,108.663,,,
1973-07-31,127.351,162.004,153.965,112.758,,,
1973-08-31,121.822,152.887,145.763,108.823,,,
1973-09-28,125.110,155.384,144.402,112.524,,,
1973-10-31,126.136,158.018,147.132,112.818,,,
1973-11-30,109.548,131.816,125.598,100.662,,,
1973-12-31,108.410,125.497,120.087,102.227,,,
1974-01-31,109.006,130.855,120.546,100.276,,,
1974-02-28,110.459,135.800,124.179,99.958,,,
1974-03-29,107.416,131.864,120.589,97.305,,,
1974-04-30,105.382,133.657,123.443,93.358,,,
1974-05-31,100.892,126.218,118.250,90.258,,,
1974-06-28,97.476,119.393,112.519,88.529,,,
1974-07-31,91.462,115.636,106.441,81.285,,,
1974-08-30,82.390,103.201,95.109,73.707,,,
1974-09-30,74.454,96.846,87.837,64.919,,,
1974-10-31,81.329,96.354,88.243,76.151,,,
1974-11-29,79.808,99.073,90.666,72.406,,,
1974-12-31,78.237,97.663,89.348,70.678,,,
1975-01-31,89.398,113.723,104.898,79.571,,,
1975-02-28,97.047,127.138,118.318,84.302,,,
1975-03-31,97.510,125.265,116.634,86.095,,,
1975-04-30,101.300,129.651,121.732,89.710,,,
1975-05-30,103.447,128.945,120.392,93.542,,,
1975-06-30,104.505,124.476,115.292,97.775,,,
1975-07-31,98.483,119.384,110.148,90.960,,,
1975-08-29,96.723,118.362,109.599,88.704,,,
