Date,ACWI_USD,WORLD_USD,EAFE_USD,EM_USD,EU_USD,ACWI_EUR,WORLD_EUR,EAFE_EUR,EM_EUR,EU_EUR
2025-02-28,163.97,167.99,118.45,204.57,129.42,177.89,182.25,128.51,221.94,140.41
2025-01-31,165.99,170.55,116.36,200.55,138.23,180.08,185.03,126.24,217.58,143.41
2024-12-31,163.97,167.53,112.88,208.36,134.69,177.89,181.75,122.46,226.05,139.57
2024-11-29,161.05,163.77,111.68,212.95,132.55,174.72,177.67,121.16,231.03,137.23
2024-10-31,172.20,176.31,117.59,214.71,134.56,186.82,191.28,127.57,232.94,142.30
2024-09-30,171.13,173.69,120.14,229.90,130.42,185.66,188.44,130.34,249.42,141.94
2024-08-30,177.29,178.95,128.60,248.86,133.54,192.34,194.14,139.52,269.99,148.68
2024-07-31,168.50,170.01,124.75,237.22,129.77,182.81,184.44,135.34,257.36,143.36
2024-06-28,162.24,162.98,119.48,236.15,129.49,176.01,176.82,129.62,256.2,140.17
2024-05-31,153.00,153.06,112.60,229.57,123.53,165.99,166.05,122.16,249.06,132.34
2024-04-30,160.42,161.45,117.71,230.21,126.28,174.04,175.16,127.7,249.75,136.90
2024-03-29,150.73,150.98,113.09,224.56,125.14,163.53,163.8,122.69,243.63,133.46
2024-02-29,149.24,149.83,113.98,218.37,123.55,161.91,162.55,123.66,236.91,133.35
2024-01-31,142.37,141.95,109.66,219.69,118.53,154.46,154,118.97,238.34,128.05
2023-12-29,143.47,143.87,115.56,211.74,125.6,155.65,156.08,125.37,229.72,135.85
2023-11-30,147.98,148.93,120.72,212.03,127.69,160.54,161.57,130.97,230.03,140.92
2023-10-31,143.09,144.87,115.99,195.03,126.65,155.24,157.17,125.84,211.59,137.87
2023-09-29,134.47,136.22,106.07,182.43,121.74,145.89,147.79,115.08,197.92,128.75
2023-08-31,134.31,135.48,106.31,188.86,121.29,145.71,146.98,115.34,204.89,128.20
2023-07-31,141.55,143.81,112.90,187.15,123.4,153.57,156.02,122.49,203.04,133.78
2023-06-30,150.53,152.59,117.63,202.97,125.36,163.31,165.54,127.62,220.2,137.81
2023-05-31,147.98,150.33,117.49,195.71,128.32,160.54,163.09,127.46,212.33,140.00
2023-04-28,144.60,147.16,113.31,188.08,128.85,156.88,159.65,122.93,204.05,137.71
2023-03-31,153.71,156.80,120.42,195.74,129.7,166.76,170.11,130.64,212.36,142.93
2023-02-28,149.63,152.61,115.00,190.84,127.62,162.33,165.57,124.76,207.04,138.33
2023-01-31,142.84,145.50,109.12,184.25,125.73,154.97,157.85,118.38,199.89,132.97
2022-12-30,151.11,152.82,110.94,207.90,120.86,163.94,165.79,120.36,225.55,131.28
2022-11-30,151.56,152.76,106.97,214.46,120.2,164.43,165.73,116.05,232.67,128.64
2022-10-31,151.79,152.77,104.79,217.38,126.31,164.68,165.74,113.69,235.84,131.43
2022-09-30,141.17,141.99,94.06,203.28,124.29,153.16,154.04,102.05,220.54,122.84
2022-08-31,138.05,138.27,89.86,205.60,118.58,149.77,150.01,97.49,223.06,116.20
2022-07-29,156.19,156.60,102.12,230.73,127.07,169.45,169.9,110.79,250.32,127.79
2022-06-30,158.18,159.51,108.43,223.03,131.84,171.61,173.05,117.64,241.97,134.71
2022-05-31,150.96,151.93,104.57,216.23,120.07,163.78,164.83,113.45,234.59,125.86
2022-04-29,162.26,163.76,117.53,226.78,130.7,176.04,177.66,127.51,246.03,140.28
2022-03-31,158.61,159.39,116.72,230.30,134.44,172.08,172.92,126.63,249.85,141.71
2022-02-28,163.89,165.48,120.23,228.11,125.71,177.8,179.53,130.44,247.48,139.10
2022-01-31,156.60,157.60,124.79,224.41,127.9,169.9,170.98,135.38,243.46,143.49
2021-12-31,157.86,158.87,121.90,226.25,125.44,171.26,172.36,132.25,245.46,140.91
2021-11-30,162.90,164.24,126.17,229.64,127.1,176.73,178.18,136.88,249.14,144.49
2021-10-29,151.01,152.00,119.30,216.14,121.39,163.83,164.9,129.43,234.49,137.61
2021-09-30,155.01,156.03,123.38,221.73,120.06,168.17,169.28,133.85,240.55,138.80
2021-08-31,148.57,148.34,116.42,229.01,110.78,161.18,160.93,126.3,248.45,128.29
2021-07-30,158.87,159.85,127.91,228.30,119.07,172.36,173.42,138.77,247.68,140.59
2021-06-30,153.46,155.21,124.45,209.64,113.82,166.49,168.39,135.02,227.44,135.10
2021-05-31,149.88,150.85,122.86,214.84,112.21,162.6,163.66,133.29,233.08,133.03
2021-04-30,154.84,155.88,129.30,221.31,111.78,167.99,169.11,140.28,240.1,136.65
2021-03-31,155.90,157.67,127.77,212.60,113.52,169.14,171.06,138.62,230.65,136.43
2021-02-26,151.87,153.17,126.02,212.97,116.46,164.76,166.17,136.72,231.05,136.58
2021-01-29,141.81,142.41,121.47,207.51,105.76,153.85,154.5,131.78,225.13,127.69
2020-12-31,149.79,151.54,128.16,203.52,111.75,162.51,164.41,139.04,220.8,135.62
2020-11-30,151.91,153.36,130.09,211.03,112.38,164.81,166.38,141.13,228.95,137.25
2020-10-30,148.68,150.79,125.52,196.87,112.77,161.3,163.59,136.18,213.58,134.51
2020-09-30,140.79,143.58,111.93,174.81,103.98,152.74,155.77,121.43,189.65,121.11
2020-08-31,138.47,141.03,114.96,174.63,105.54,150.23,153,124.72,189.46,123.67
2020-07-31,139.95,142.10,118.50,182.98,104.78,151.83,154.16,128.56,198.52,125.06
2020-06-30,142.78,144.56,118.04,192.67,107.75,154.9,156.83,128.06,209.03,126.87
2020-05-29,134.26,135.66,112.63,184.97,110.6,145.66,147.18,122.19,200.67,124.22
2020-04-30,136.29,137.84,108.19,186.07,106.76,147.86,149.54,117.38,201.87,118.48
2020-03-31,131.66,132.69,103.70,186.32,102.97,142.84,143.96,112.5,202.14,112.80
2020-02-28,126.98,128.69,101.12,169.32,100.4,137.76,139.62,109.71,183.7,110.73
2020-01-31,144.54,145.91,117.47,201.09,120.38,156.81,158.3,127.44,218.16,132.72
2019-12-31,157.30,158.54,122.20,222.58,123.03,170.65,172,132.57,241.48,136.48
2019-11-29,150.30,150.21,117.27,231.06,112.6,163.06,162.96,127.23,250.68,126.22
2019-10-31,144.75,144.85,111.86,219.81,110.54,157.04,157.15,121.36,238.47,121.76
2019-09-30,148.35,148.14,114.20,229.75,109.78,160.94,160.72,123.9,249.26,122.40
2019-08-30,147.69,147.93,111.81,222.25,112.37,160.23,160.49,121.3,241.12,122.46
2019-07-31,143.41,143.09,109.16,223.88,106.95,155.59,155.24,118.43,242.89,117.53
2019-06-28,140.20,138.95,108.82,233.15,102.74,152.1,150.75,118.06,252.94,113.77
2019-05-31,140.96,139.86,109.96,231.99,99.45,152.93,151.73,119.3,251.69,113.05
2019-04-30,135.86,135.07,105.30,219.49,97.69,147.39,146.54,114.24,238.12,109.09
2019-03-29,138.31,137.47,108.08,224.71,99.4,150.05,149.14,117.26,243.79,111.48
2019-02-28,138.70,137.69,110.07,228.08,99.61,150.48,149.38,119.41,247.44,111.73
2019-01-31,136.51,135.07,109.04,231.94,95.56,148.1,146.54,118.3,251.63,108.65
2018-12-31,133.95,132.18,108.80,233.62,94.72,145.32,143.4,118.04,253.45,108.40
2018-11-30,127.50,125.95,101.71,219.97,87.79,138.32,136.64,110.35,238.65,100.69
2018-10-31,130.30,129.08,100.98,218.87,89.09,141.36,140.04,109.55,237.45,100.81
2018-09-28,126.23,125.17,97.86,209.81,86.12,136.95,135.8,106.17,227.62,97.40
2018-08-31,127.27,126.11,102.35,213.02,85.89,138.08,136.82,111.04,231.11,99.70
2018-07-31,128.10,126.85,102.39,215.82,86.44,138.98,137.62,111.08,234.14,100.26
2018-06-29,130.01,128.05,105.67,230.32,88.71,141.05,138.92,114.64,249.87,103.71
2018-05-31,127.35,125.86,103.80,218.72,87.15,138.16,136.55,112.61,237.29,101.82
2018-04-30,126.07,123.63,102.99,232.24,85.92,136.77,134.13,111.73,251.96,100.44
2018-03-30,129.96,127.21,107.96,243.45,86.13,140.99,138.01,117.13,264.12,104.02
2018-02-28,127.08,124.18,104.86,241.86,80.49,137.87,134.72,113.76,262.39,99.17
2018-01-31,122.77,119.64,100.32,239.32,77.59,133.19,129.8,108.84,259.64,94.61
2017-12-29,128.72,125.73,105.78,245.79,79.9,139.65,136.4,114.76,266.66,99.23
2017-11-30,129.49,127.18,104.17,235.10,84.63,140.48,137.98,113.01,255.06,101.52
2017-10-31,135.34,133.78,107.36,230.82,88.94,146.83,145.14,116.47,250.42,105.86
2017-09-29,133.96,131.92,106.93,236.81,92.58,145.33,143.12,116.01,256.92,107.80
2017-08-31,130.57,128.43,105.76,233.65,89.16,141.66,139.33,114.74,253.49,105.31
2017-07-31,133.81,131.87,107.94,235.10,88.82,145.17,143.07,117.1,255.06,105.77
2017-06-30,130.33,128.25,104.48,232.09,85.86,141.4,139.14,113.35,251.79,101.66
2017-05-31,127.22,125.56,102.07,220.41,89.4,138.02,136.22,110.74,239.12,102.12
2017-04-28,130.65,129.18,105.27,222.31,95.69,141.74,140.15,114.21,241.18,107.56
2017-03-31,124.57,122.37,97.01,225.66,92.28,135.15,132.76,105.25,244.82,100.54
2017-02-28,124.10,121.72,96.63,228.12,96.29,134.64,132.05,104.83,247.49,102.54
2017-01-31,122.27,119.98,92.41,223.63,92.09,132.65,130.17,100.26,242.62,97.38
2016-12-30,117.88,115.62,89.98,216.41,86.15,127.89,125.44,97.62,234.78,93.00
2016-11-30,116.80,114.96,90.18,207.68,91.99,126.72,124.72,97.84,225.31,96.71
2016-10-31,112.67,110.35,86.97,209.74,86.26,122.24,119.72,94.35,227.55,91.31
2016-09-30,120.57,118.04,94.05,225.34,89.53,130.81,128.06,102.03,244.47,98.30
2016-08-31,121.87,119.46,97.97,225.06,89.88,132.22,129.6,106.29,244.17,101.01
2016-07-29,121.49,118.63,96.53,232.54,90.13,131.8,128.7,104.73,252.28,100.55
2016-06-30,127.69,125.28,100.90,233.87,94.38,138.53,135.92,109.47,253.73,105.42
2016-05-31,126.52,124.57,98.38,223.87,93.47,137.26,135.15,106.73,242.88,103.79
2016-04-29,121.11,119.26,98.11,214.12,93.31,131.39,129.39,106.44,232.3,103.84
2016-03-31,122.43,120.05,100.84,225.53,90.82,132.82,130.24,109.4,244.68,104.03
2016-02-29,122.98,120.59,98.76,226.44,88.72,133.42,130.83,107.14,245.66,100.95
2016-01-29,114.02,112.47,93.16,198.11,90.61,123.7,122.02,101.07,214.93,98.50
2015-12-31,114.76,113.28,95.97,198.09,96.47,124.5,122.9,104.12,214.91,104.52
2015-11-30,113.84,111.67,98.81,208.73,97.71,123.51,121.15,107.2,226.45,106.11
2015-10-30,112.50,110.21,97.98,208.76,103.28,122.05,119.57,106.3,226.48,109.09
2015-09-30,117.43,114.80,103.47,222.18,99.17,127.4,124.55,112.25,241.04,109.14
2015-08-31,113.34,110.91,97.20,212.50,90.85,122.96,120.33,105.45,230.54,101.53
2015-07-31,113.78,110.99,99.92,219.60,92.77,123.44,120.41,108.4,238.24,104.00
2015-06-30,120.75,117.00,106.14,247.07,102.21,131,126.93,115.15,268.05,112.30
2015-05-29,116.23,111.54,102.11,257.08,97.18,126.1,121.01,110.78,278.91,108.21
2015-04-30,123.38,118.56,107.85,270.03,106.41,133.85,128.63,117.01,292.96,116.91
2015-03-31,123.72,118.21,106.62,283.17,101.33,134.22,128.25,115.67,307.21,113.71
2015-02-27,120.77,116.20,102.18,261.64,105.27,131.02,126.07,110.86,283.85,112.95
2015-01-30,124.06,119.48,107.01,266.65,103.11,134.59,129.62,116.1,289.29,115.41
2014-12-31,128.44,124.35,107.45,264.05,101.89,139.34,134.91,116.57,286.47,114.99
2014-11-28,127.59,123.06,107.69,270.86,90.74,138.42,133.51,116.83,293.86,109.77
2014-10-31,128.62,123.33,112.06,286.86,90.18,139.54,133.8,121.57,311.21,112.27
2014-09-30,128.52,122.91,112.16,292.60,88.91,139.43,133.35,121.68,317.44,111.35
2014-08-29,124.19,118.42,112.68,289.25,89.17,134.73,128.47,122.25,313.81,112.63
2014-07-31,127.88,121.40,115.60,307.79,84.29,138.74,131.71,125.41,333.92,110.69
2014-06-30,125.52,119.20,116.53,301.43,82.25,136.18,129.32,126.42,327.02,110.12
2014-05-30,131.37,125.38,119.90,303.94,81.4,142.52,136.02,130.08,329.74,111.44
