Date,ACWI GROWTH,ACWI ex USA GROWTH,WORLD GROWTH,EAFE GROWTH,FAR EAST GROWTH,NORDIC COUNTRIES GROWTH,PACIFIC GROWTH,NORTH AMERICA GROWTH,ACWI VALUE,ACWI ex USA VALUE,WORLD VALUE,EAFE VALUE,FAR EAST VALUE,PACIFIC VALUE,NORDIC COUNTRIES,NORTH AMERICA VALUE,ACWI SMALL VALUE,ACWI ex USA SMALL VALUE,WORLD SMALL VALUE,EAFE SMALL VALUE,PACIFIC SMALL VALUE,FAR EAST SMALL VALUE,NORTH AMERICA SMALL VALUE
2000-12-29,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
2001-01-31,104.613,102.671,104.003,100.671,102.512,91.574,102.957,107.382,102.547,102.278,101.971,101.125,98.263,98.769,108.698,102.644,105.063,103.680,104.434,102.240,100.579,100.440,106.443
2001-02-28,92.418,92.106,91.753,91.467,95.241,66.933,95.879,91.992,98.616,98.460,98.057,97.131,98.440,98.738,99.129,98.797,104.067,104.144,103.516,103.214,103.003,103.893,103.791
2001-03-30,88.199,88.472,87.716,88.562,96.247,61.890,96.435,86.974,97.123,95.683,96.779,94.559,96.740,96.265,90.353,98.675,103.152,101.897,102.790,100.821,102.651,104.416,104.598
2001-04-30,94.952,94.274,94.514,94.358,100.298,75.657,101.022,94.635,103.197,101.733,102.993,100.926,103.889,103.879,100.683,104.747,108.762,107.507,108.842,107.183,112.971,115.425,110.359
2001-05-31,97.414,95.134,96.862,94.719,104.950,72.922,105.729,98.691,107.427,104.083,107.049,102.334,107.649,107.752,100.630,111.160,116.586,113.656,116.657,112.799,121.398,124.418,120.188
2001-06-29,94.163,90.734,93.591,90.230,98.179,63.055,99.533,96.473,104.600,101.019,104.158,99.005,102.688,104.077,97.301,108.662,117.090,111.601,117.286,110.533,121.283,123.916,123.478
2001-07-31,89.588,85.460,89.208,85.183,88.254,60.905,89.649,92.665,99.652,95.921,99.567,94.582,93.122,94.593,94.671,103.930,110.705,105.212,111.240,104.676,111.791,113.221,117.259
2001-08-31,81.082,78.454,80.628,78.310,80.077,48.831,82.072,82.614,92.799,91.935,92.490,90.489,90.076,91.365,89.596,94.215,107.179,103.203,107.495,102.848,110.309,111.094,111.731
2001-09-28,73.818,70.230,73.734,70.716,71.335,44.491,73.356,76.314,83.715,81.635,83.684,80.571,81.060,81.454,78.362,86.395,95.189,91.642,95.608,91.599,101.467,102.620,99.262
2001-10-31,77.920,74.044,77.725,74.344,74.051,52.662,76.367,80.618,84.655,83.756,84.408,82.499,80.030,81.712,82.446,86.068,99.157,95.154,99.588,95.258,105.171,105.316,103.540
2001-11-30,84.452,78.915,84.124,78.630,78.871,59.233,81.601,88.856,89.056,87.020,88.548,84.921,79.321,81.799,88.594,91.704,104.493,98.856,104.450,97.464,103.568,101.897,110.859
2001-12-31,85.665,80.567,85.006,79.525,75.395,62.478,78.623,89.728,90.406,88.420,89.703,85.912,75.287,78.422,92.529,92.988,107.882,99.394,107.488,96.346,97.714,94.839,117.847
2002-01-31,85.883,79.484,85.045,77.814,71.473,57.317,75.443,91.185,91.197,87.811,90.159,84.203,74.190,77.957,93.246,95.113,111.244,102.548,109.983,97.435,97.680,93.693,121.671
