Data,iBoxx EUR Eurozone 15-30
2007-07,100
2007-08,100.401
2007-09,99.903
2007-10,101.43
2007-11,101.087
2007-12,100.718
2008-01,103.422
2008-02,103.027
2008-03,102.303
2008-04,101.585
2008-05,99.405
2008-06,97.917
2008-07,101.054
2008-08,102.995
2008-09,102.115
2008-10,101.824
2008-11,110.156
2008-12,111.747
2009-01,106.96
2009-02,107.226
2009-03,108.849
2009-04,110.389
2009-05,106.074
2009-06,108.351
2009-07,112.478
2009-08,113.791
2009-09,115.027
2009-10,114.328
2009-11,115.926
2009-12,113.96
2010-01,115.441
2010-02,117.246
2010-03,118.436
2010-04,118.662
2010-05,120.583
2010-06,120.169
2010-07,121.884
2010-08,131.58
2010-09,128.016
2010-10,126.373
2010-11,120.48
2010-12,118.061
2011-01,116.89
2011-02,116.469
2011-03,115.092
2011-04,116.974
2011-05,118.934
2011-06,116.916
2011-07,117.873
2011-08,121.172
2011-09,124.801
2011-10,120.157
2011-11,115.848
2011-12,124.542
2012-01,125.81
2012-02,129.808
2012-03,129.821
2012-04,129.607
2012-05,137.26
2012-06,130.532
2012-07,135.61
2012-08,136.503
2012-09,138.049
2012-10,139.556
2012-11,143.03
2012-12,146.07
2013-01,143.871
2013-02,143.224
2013-03,145.197
2013-04,152.798
2013-05,147.946
2013-06,144.065
2013-07,145.087
2013-08,142.842
2013-09,144.188
2013-10,147.306
2013-11,147.5
2013-12,146.141
2014-01,152.869
2014-02,154.822
2014-03,157.591
2014-04,161.175
2014-05,164.17
2014-06,167.158
2014-07,171.085
2014-08,179.721
2014-09,178.543
2014-10,180.374
2014-11,186.946
2014-12,193.085
2015-01,208.409
2015-02,211.288
2015-03,221.314
2015-04,211.476
2015-05,201.844
2015-06,186.273
2015-07,197.768
2015-08,191.694
2015-09,197.904
2015-10,202.445
2015-11,202.206
2015-12,196.999
2016-01,207.323
2016-02,213.474
2016-03,216.398
2016-04,208.888
2016-05,214.548
2016-06,230.895
2016-07,235.74
2016-08,232.499
2016-09,233.055
2016-10,220.15
2016-11,211.171
2016-12,215.24
2017-01,201.824
2017-02,207.588
2017-03,205.207
2017-04,206.605
2017-05,208.319
2017-06,206.365
2017-07,206.831
2017-08,211.049
2017-09,208.092
2017-10,213.267
2017-11,214.949
2017-12,211.657
2018-01,211.301
2018-02,211.902
2018-03,219.419
2018-04,217.685
2018-05,213.584
2018-06,215.725
2018-07,214.141
2018-08,212.297
2018-09,211.864
2018-10,210.9
2018-11,212.692
2018-12,216.903
2019-01,221.858
2019-02,219.012
2019-03,228.055
2019-04,227.602
2019-05,234.051
2019-06,246.627
2019-07,255.185
2019-08,271.434
2019-09,269.455
2019-10,263.025
2019-11,257.339
2019-12,251.329
2020-01,266.007
2020-02,269.474
2020-03,255.851
2020-04,259.059
2020-05,258.891
2020-06,263.659
2020-07,270.224
2020-08,265.858
2020-09,274.099
2020-10,280.122
2020-11,280.814
2020-12,281.978
2021-01,277.98
2021-02,267.288
2021-03,266.395
2021-04,259.823
2021-05,259.202
2021-06,262.54
2021-07,273.291
2021-08,270.36
2021-09,263.581
2021-10,263.956
2021-11,272.223
2021-12,262.915
2022-01,257.856
2022-02,247.668
2022-03,238.767
2022-04,218.798
2022-05,207.834
2022-06,199.023
2022-07,216.346
2022-08,195.757
2022-09,180.503
2022-10,179.973
2022-11,193.253
2022-12,172.54
2023-01,181.719
2023-02,173.012
2023-03,179.953
2023-04,178.569
2023-05,178.983
2023-06,181.111
2023-07,178.142
2023-08,177.948
2023-09,165.923
2023-10,164.881
2023-11,176.506
2023-12,190.86
2024-01,187.38
2024-02,184.714
2024-03,188.55
2024-04,182.631
2024-05,181.519
2024-06,180.348
2024-07,188.408
2024-08,188.518
2024-09,191.707
