Data,iBoxx Sovereigns 1-3
1998-12,100
1999-01,100.718
1999-02,100.537
1999-03,101.152
1999-04,101.772
1999-05,101.859
1999-06,101.424
1999-07,101.305
1999-08,101.521
1999-09,101.618
1999-10,101.455
1999-11,101.786
1999-12,101.823
2000-01,101.957
2000-02,102.248
2000-03,102.735
2000-04,102.809
2000-05,102.64
2000-06,103.105
2000-07,103.297
2000-08,103.584
2000-09,104.288
2000-10,104.69
2000-11,105.618
2000-12,106.695
2001-01,107.23
2001-02,107.602
2001-03,108.428
2001-04,107.975
2001-05,108.812
2001-06,109.435
2001-07,110.143
2001-08,110.961
2001-09,112.074
2001-10,113.081
2001-11,113.018
2001-12,112.984
2002-01,112.906
2002-02,113.302
2002-03,113.027
2002-04,113.855
2002-05,113.978
2002-06,114.998
2002-07,116.016
2002-08,116.707
2002-09,117.175
2002-10,118.144
2002-11,118.457
2002-12,119.57
2003-01,120.152
2003-02,120.976
2003-03,121.047
2003-04,121.253
2003-05,122.26
2003-06,122.571
2003-07,122.148
2003-08,122.126
2003-09,123.197
2003-10,122.662
2003-11,122.677
2003-12,123.559
2004-01,124.01
2004-02,124.864
2004-03,125.387
2004-04,124.989
2004-05,125.07
2004-06,125.171
2004-07,125.661
2004-08,126.381
2004-09,126.496
2004-10,127.074
2004-11,127.541
2004-12,127.634
2005-01,128.113
2005-02,128.167
2005-03,128.513
2005-04,129.336
2005-05,129.858
2005-06,130.411
2005-07,130.193
2005-08,130.548
2005-09,130.441
2005-10,130.149
2005-11,130.08
2005-12,130.266
2006-01,130.396
2006-02,130.55
2006-03,130.317
2006-04,130.469
2006-05,130.886
2006-06,130.888
2006-07,131.419
2006-08,131.823
2006-09,132.057
2006-10,132.271
2006-11,132.719
2006-12,132.567
2007-01,132.844
2007-02,133.426
2007-03,133.557
2007-04,133.767
2007-05,133.635
2007-06,133.917
2007-07,134.676
2007-08,135.807
2007-09,136.236
2007-10,136.618
2007-11,137.605
2007-12,137.657
2008-01,139.388
2008-02,140.234
2008-03,139.755
2008-04,139.588
2008-05,138.96
2008-06,138.633
2008-07,139.888
2008-08,140.862
2008-09,142.475
2008-10,144.612
2008-11,145.951
2008-12,147.067
2009-01,148.539
2009-02,149.387
2009-03,150.151
2009-04,150.416
2009-05,150.926
2009-06,151.435
2009-07,152.1
2009-08,152.302
2009-09,152.943
2009-10,153.069
2009-11,153.334
2009-12,153.135
2010-01,153.113
2010-02,154.287
2010-03,154.766
2010-04,153.872
2010-05,154.824
2010-06,154.351
2010-07,154.885
2010-08,155.419
2010-09,154.902
2010-10,154.963
2010-11,153.937
2010-12,154.46
2011-01,154.335
2011-02,154.513
2011-03,154.221
2011-04,154.219
2011-05,154.868
2011-06,154.974
2011-07,154.642
2011-08,156.94
2011-09,157.098
2011-10,156.359
2011-11,154.963
2011-12,158.193
2012-01,159.881
2012-02,161.137
2012-03,161.074
2012-04,160.954
2012-05,160.085
2012-06,160.917
2012-07,161.299
2012-08,162.82
2012-09,163.462
2012-10,163.939
2012-11,164.57
2012-12,164.776
2013-01,164.89
2013-02,165.122
2013-03,165.42
2013-04,166.494
2013-05,166.277
2013-06,165.715
2013-07,166.288
2013-08,166.362
2013-09,166.811
2013-10,167.565
2013-11,167.995
2013-12,167.79
2014-01,168.577
2014-02,168.773
2014-03,169.053
2014-04,169.166
2014-05,169.491
2014-06,169.924
2014-07,170.139
2014-08,170.45
2014-09,170.588
2014-10,170.314
2014-11,170.506
2014-12,170.61
2015-01,170.955
2015-02,171.215
2015-03,171.358
2015-04,171.29
2015-05,171.346
2015-06,171.018
2015-07,171.423
2015-08,171.267
2015-09,171.445
2015-10,171.717
2015-11,171.97
2015-12,171.876
2016-01,172.098
2016-02,172.187
2016-03,172.058
2016-04,172.049
2016-05,172.152
2016-06,172.367
2016-07,172.364
2016-08,172.332
2016-09,172.387
2016-10,172.074
2016-11,172.077
2016-12,172.417
2017-01,171.947
2017-02,172.149
2017-03,171.931
2017-04,172.034
2017-05,172.171
2017-06,171.881
2017-07,172.093
2017-08,172.166
2017-09,172.082
2017-10,172.289
2017-11,172.206
2017-12,171.844
2018-01,171.668
2018-02,171.744
2018-03,171.916
2018-04,171.82
2018-05,170.74
2018-06,171.27
2018-07,171.15
2018-08,170.62
2018-09,170.77
2018-10,170.89
2018-11,171.26
2018-12,171.67
2019-01,171.77
2019-02,171.59
2019-03,171.91
2019-04,171.86
2019-05,171.85
2019-06,172.41
2019-07,172.71
2019-08,173.1
2019-09,172.86
2019-10,172.49
2019-11,172.23
2019-12,172.17
2020-01,172.39
2020-02,172.31
2020-03,171.58
2020-04,171.46
2020-05,171.56
2020-06,171.95
2020-07,172.05
2020-08,171.94
2020-09,172.11
2020-10,172.36
2020-11,172.31
2020-12,172.22
2021-01,172.03
2021-02,171.82
2021-03,171.79
2021-04,171.64
2021-05,171.53
2021-06,171.57
2021-07,171.78
2021-08,171.64
2021-09,171.44
2021-10,170.92
2021-11,171.49
2021-12,170.97
2022-01,170.66
2022-02,170.32
2022-03,169.22
2022-04,168.13
2022-05,167.65
2022-06,167.04
2022-07,168.2
2022-08,165.78
2022-09,163.96
2022-10,163.98
2022-11,164.18
2022-12,162.76
2023-01,163.44
