Date,USD,EUR
29/12/78,226.0,137.1
01/01/79,226.0,137.1
02/01/79,226.8,137.3
03/01/79,218.6,134.0
04/01/79,223.2,136.8
05/01/79,225.5,138.4
08/01/79,223.1,136.4
09/01/79,224.0,137.3
10/01/79,220.7,135.5
11/01/79,220.7,135.9
12/01/79,217.6,134.1
15/01/79,216.9,133.8
16/01/79,220.7,135.6
17/01/79,227.3,139.2
18/01/79,231.8,141.7
19/01/79,230.6,141.1
22/01/79,235.0,144.0
23/01/79,230.0,141.1
24/01/79,236.1,144.7
25/01/79,233.9,144.0
26/01/79,235.5,144.6
29/01/79,235.2,145.3
30/01/79,233.5,144.1
31/01/79,233.7,144.8
01/02/79,229.4,142.9
02/02/79,230.3,143.5
05/02/79,243.1,150.3
06/02/79,244.5,150.8
07/02/79,251.6,153.7
08/02/79,250.5,153.5
09/02/79,246.8,151.3
12/02/79,244.3,150.0
13/02/79,240.6,148.1
14/02/79,240.7,148.3
15/02/79,247.8,152.4
16/02/79,247.1,152.2
19/02/79,248.1,152.8
20/02/79,247.0,152.2
21/02/79,250.8,154.6
22/02/79,252.4,155.4
23/02/79,251.0,154.4
26/02/79,248.6,152.7
27/02/79,247.9,152.5
28/02/79,251.3,154.6
01/03/79,248.8,153.3
02/03/79,248.0,152.8
05/03/79,238.2,147.0
06/03/79,239.8,147.9
07/03/79,242.3,149.1
08/03/79,239.2,147.1
09/03/79,241.0,148.4
12/03/79,240.0,148.0
13/03/79,239.1,147.8
14/03/79,239.5,147.8
15/03/79,240.1,148.2
16/03/79,244.0,150.8
19/03/79,242.3,149.7
20/03/79,242.1,149.4
21/03/79,239.9,148.3
22/03/79,242.9,149.9
23/03/79,242.5,149.7
26/03/79,245.3,151.0
27/03/79,244.4,150.7
28/03/79,244.4,150.7
29/03/79,241.5,149.1
30/03/79,240.1,148.0
02/04/79,239.7,148.5
03/04/79,240.0,148.8
04/04/79,239.8,148.5
05/04/79,240.7,149.1
06/04/79,239.8,148.5
09/04/79,240.2,149.9
10/04/79,239.8,149.3
11/04/79,238.4,148.3
12/04/79,234.0,145.9
13/04/79,234.0,145.9
16/04/79,234.0,145.9
17/04/79,231.9,144.8
18/04/79,233.2,145.4
19/04/79,240.9,149.9
20/04/79,236.4,147.7
23/04/79,236.9,147.8
24/04/79,239.7,149.3
25/04/79,241.8,150.4
26/04/79,242.2,150.7
27/04/79,243.7,151.2
30/04/79,245.3,152.8
01/05/79,247.3,152.8
02/05/79,246.3,153.2
03/05/79,246.5,153.3
04/05/79,248.5,154.5
07/05/79,248.5,154.5
08/05/79,249.0,154.8
09/05/79,248.0,154.1
10/05/79,252.3,157.1
11/05/79,251.5,156.7
14/05/79,251.0,156.4
15/05/79,255.5,159.6
16/05/79,256.5,160.1
17/05/79,256.8,160.7
18/05/79,256.4,161.1
21/05/79,262.0,164.9
22/05/79,265.4,166.8
23/05/79,264.2,165.9
24/05/79,263.8,165.4
25/05/79,270.6,170.0
28/05/79,270.6,170.0
29/05/79,273.8,172.2
30/05/79,270.3,169.7
31/05/79,274.6,172.0
01/06/79,275.1,172.7
04/06/79,272.9,171.0
05/06/79,274.8,172.3
06/06/79,280.0,175.7
07/06/79,276.1,173.2
08/06/79,280.0,175.5
11/06/79,282.4,177.0
12/06/79,277.8,174.0
13/06/79,276.6,173.1
14/06/79,279.0,174.5
15/06/79,280.0,174.1
18/06/79,278.0,172.8
19/06/79,280.3,173.0
20/06/79,281.4,173.1
21/06/79,282.3,173.5
22/06/79,283.5,173.7
25/06/79,283.9,172.9
26/06/79,281.5,172.2
27/06/79,281.8,172.1
28/06/79,275.9,168.4
29/06/79,277.5,169.0
02/07/79,282.5,172.3
03/07/79,281.4,171.4
04/07/79,283.5,172.1
05/07/79,288.3,174.7
06/07/79,290.3,176.5
09/07/79,287.9,175.5
10/07/79,290.5,176.6
11/07/79,290.3,175.8
12/07/79,290.8,176.1
13/07/79,287.5,174.1
16/07/79,292.8,176.9
17/07/79,296.3,178.2
18/07/79,302.2,181.1
19/07/79,299.2,179.5
20/07/79,298.8,180.5
23/07/79,304.9,183.3
24/07/79,305.3,183.3
25/07/79,303.4,182.7
26/07/79,305.2,183.9
27/07/79,305.8,184.6
30/07/79,301.4,182.4
31/07/79,296.5,179.7
01/08/79,290.1,175.6
02/08/79,291.5,176.3
03/08/79,286.5,173.6
06/08/79,282.7,171.1
07/08/79,285.1,172.7
