Date,USD,EUR
29/12/78,226.0,137.1
31/01/79,233.7,144.8
28/02/79,251.3,154.6
30/03/79,240.1,148.0
30/04/79,245.3,152.8
31/05/79,274.6,172.0
29/06/79,277.5,169.0
31/07/79,296.5,179.7
31/08/79,315.1,190.4
28/09/79,397.3,233.2
31/10/79,382.0,231.5
30/11/79,415.7,244.9
31/12/79,512.0,299.1
31/01/80,653.0,385.0
29/02/80,637.0,381.5
31/03/80,494.5,321.6
30/04/80,518.0,317.3
30/05/80,535.5,323.1
30/06/80,653.5,392.7
31/07/80,614.3,372.4
29/08/80,631.3,386.5
30/09/80,666.8,412.8
31/10/80,629.0,404.9
28/11/80,619.8,406.7
31/12/80,589.8,392.4
30/01/81,506.5,363.3
27/02/81,489.0,358.0
31/03/81,513.8,375.1
30/04/81,482.8,369.7
29/05/81,479.3,386.1
30/06/81,426.0,353.4
31/07/81,406.0,346.9
31/08/81,425.0,362.5
30/09/81,428.8,349.9
30/10/81,427.0,347.0
30/11/81,414.5,332.9
31/12/81,397.5,327.5
29/01/82,387.0,327.9
26/02/82,362.6,308.9
31/03/82,320.0,285.7
30/04/82,361.3,318.8
31/05/82,325.3,284.8
30/06/82,317.5,301.0
30/07/82,342.9,315.2
31/08/82,411.5,388.3
30/09/82,397.0,383.4
29/10/82,423.3,416.8
30/11/82,436.0,423.2
31/12/82,456.9,429.9
31/01/83,499.5,486.1
28/02/83,408.5,394.4
31/03/83,414.8,410.9
29/04/83,429.3,430.9
31/05/83,437.5,447.3
30/06/83,416.0,431.7
29/07/83,422.0,456.5
31/08/83,414.3,452.9
30/09/83,405.0,440.9
31/10/83,382.0,416.5
30/11/83,405.0,451.5
30/12/83,382.4,432.0
31/01/84,373.8,436.2
29/02/84,394.3,428.6
30/03/84,388.5,421.4
30/04/84,375.8,425.2
31/05/84,384.3,437.2
29/06/84,373.1,431.9
31/07/84,342.4,412.7
31/08/84,348.3,419.4
28/09/84,343.8,436.4
31/10/84,333.5,421.4
30/11/84,329.0,423.7
31/12/84,308.3,402.5
31/01/85,306.7,402.8
28/02/85,287.8,400.5
29/03/85,329.3,425.7
30/04/85,321.4,417.9
31/05/85,314.0,403.4
28/06/85,317.8,405.0
31/07/85,327.5,393.6
30/08/85,333.3,400.0
30/09/85,325.8,375.9
31/10/85,325.1,366.6
29/11/85,325.3,353.9
31/12/85,326.8,347.5
31/01/86,350.5,364.1
28/02/86,338.2,328.6
31/03/86,344.0,348.0
30/04/86,345.8,329.6
30/05/86,343.2,351.0
30/06/86,346.8,336.2
31/07/86,357.5,332.2
29/08/86,384.7,349.5
30/09/86,423.2,383.6
31/10/86,401.0,369.8
28/11/86,389.5,345.5
31/12/86,388.8,337.8
30/01/87,400.5,334.8
27/02/87,405.9,338.0
31/03/87,421.0,346.7
30/04/87,453.3,371.8
29/05/87,451.0,375.9
30/06/87,447.3,373.3
31/07/87,462.5,391.9
31/08/87,453.4,374.3
30/09/87,459.5,384.7
30/10/87,468.8,372.2
30/11/87,492.5,372.0
31/12/87,484.1,351.8
29/01/88,458.0,352.9
29/02/88,426.2,330.5
31/03/88,457.0,347.7
29/04/88,449.0,345.6
31/05/88,455.5,360.8
30/06/88,436.6,364.4
29/07/88,436.8,374.6
31/08/88,427.8,369.1
30/09/88,396.7,341.8
31/10/88,412.4,337.9
30/11/88,422.6,336.6
30/12/88,410.3,332.7
31/01/89,394.0,335.7
28/02/89,387.0,321.6
31/03/89,383.2,329.4
28/04/89,377.6,321.8
31/05/89,361.8,324.6
30/06/89,373.0,330.9
31/07/89,368.3,310.9
31/08/89,359.8,318.1
29/09/89,366.5,312.4
31/10/89,375.3,315.2
30/11/89,408.2,332.9
29/12/89,398.6,310.7
31/01/90,415.1,321.3
28/02/90,407.7,316.2
30/03/90,368.5,283.9
30/04/90,367.8,280.7
31/05/90,363.1,280.2
29/06/90,352.2,265.9
31/07/90,372.3,267.8
31/08/90,387.8,278.0
28/09/90,408.4,291.9
31/10/90,379.5,262.6
30/11/90,384.9,264.8
31/12/90,386.2,265.7
31/01/91,366.0,251.1
28/02/91,362.7,256.1
29/03/91,355.7,279.8
30/04/91,357.8,282.5
31/05/91,360.4,288.9
28/06/91,368.4,308.5
31/07/91,362.9,292.9
30/08/91,347.4,280.8
30/09/91,354.9,273.6
31/10/91,357.5,276.7
29/11/91,366.3,277.9
31/12/91,353.2,250.3
31/01/92,354.1,264.7
28/02/92,353.1,269.0
31/03/92,341.7,261.7
30/04/92,336.4,258.0
29/05/92,337.5,251.3
30/06/92,343.4,243.1
31/07/92,357.9,246.8
31/08/92,340.0,224.5
30/09/92,349.0,241.3
30/10/92,339.3,255.0
30/11/92,334.2,261.4
31/12/92,332.9,266.7
29/01/93,330.5,264.3
26/02/93,327.6,270.5
31/03/93,337.8,275.0
30/04/93,354.3,281.1
31/05/93,377.5,300.7
30/06/93,378.5,321.1
30/07/93,401.8,354.8
31/08/93,371.6,319.0
30/09/93,355.5,298.7
29/10/93,369.6,318.9
30/11/93,370.9,327.9
31/12/93,391.8,348.2
31/01/94,377.9,335.2
28/02/94,381.6,333.0
31/03/94,389.2,331.0
29/04/94,376.5,317.5
31/05/94,387.6,325.3
30/06/94,388.3,317.6
